#more(on1;_off2;_0.3)_&_less(off1;_on2;_1),.\yulab_data\1202\cevent_eye_roi_child.csv,,,.\yulab_data\1202\cevent_eye_roi_parent.csv,,,
#onset1,offset1,category1,index1,onset2,offset2,category2,index2
61.167,61.9,10,4,62,62.267,10,10
61.167,61.9,10,4,62.867,64.067,10,12
70.167,75.3,6,7,75.967,76.833,6,20
76.633,77.867,10,10,77.967,78.3,10,22
91.433,95.433,6,15,95.867,96.467,6,39
115.23,119.4,15,25,120.2,121.03,15,60
123.57,131.67,15,28,131.73,132.27,15,66
133.73,135.63,15,30,135.63,135.9,15,69
154.3,155.47,3,41,155.6,156,3,85
155.53,155.77,13,42,156.03,156.27,13,86
155.87,179.2,20,43,179.8,180.67,20,91
232.63,234.63,9,57,235.03,235.93,9,124
236.33,237,21,59,237.27,237.93,21,127
240.13,240.97,17,61,241.4,243.03,17,130
244.73,249.4,21,64,250.2,253.63,21,133
263.4,264.17,22,76,264.4,264.63,22,148
293.5,293.7,22,89,294.17,294.4,22,170
312,313.1,17,93,313.13,314.53,17,182
319.63,322.17,22,96,322.57,322.97,22,188
336.47,340.47,22,103,340.63,340.93,22,201
336.47,340.47,22,103,341.37,341.8,22,203
349.93,350.8,8,109,351.63,352.23,8,211
372.97,374.67,9,120,375.1,376.23,9,226
395.53,395.77,5,128,396.3,397.7,5,243
399.3,401.07,5,132,401.9,405.27,5,247
455,455.67,14,154,456.17,456.53,14,272
504.1,520.73,8,166,521.7,522.9,8,298
522.37,523.43,15,168,523.53,523.87,15,299
538.47,539.57,15,171,539.87,540.43,15,311
546.9,547.77,15,173,547.87,548.17,15,319
547.8,554.33,1,174,555.3,555.8,1,327
