#more(on1;_off2;_0.3)_&_less(off1;_on2;_1),yulab_data\1204\cevent_eye_roi_parent.csv,,,,
#onset,offset,cat,index
38.467,38.533,23,1
38.667,39.6,7,2
39.867,40.133,22,3
40.2,41.667,23,4
42.033,42.333,8,5
42.833,43.267,22,6
44.533,44.8,16,8
46.267,47,22,10
48.233,48.467,17,11
48.7,49,14,12
49.567,50.8,16,13
50.867,51.667,7,14
52.633,54.233,15,15
54.3,54.633,25,16
56.667,57.433,25,18
57.533,58.667,23,19
58.967,61.833,15,20
61.967,62.267,25,21
62.367,64.367,24,22
68.933,69.567,25,24
69.867,70.267,14,25
70.8,72.167,25,26
72.3,75.133,14,27
75.667,76.9,25,28
77.067,77.767,14,29
78.067,78.5,17,30
78.667,79.533,25,31
79.7,82.3,15,32
82.3,83.667,23,33
84.033,84.367,17,34
85.333,85.6,3,35
85.667,85.9,12,36
86.033,86.3,6,37
86.4,86.8,22,38
86.867,87.133,23,39
87.2,89.933,6,40
90,90.5,22,41
90.567,90.9,23,42
91.667,92.467,1,43
92.8,93.733,25,44
93.9,98.333,19,45
98.4,99.267,25,46
99.333,99.567,19,47
99.667,101.4,25,48
101.57,101.9,15,49
103.43,103.77,22,50
104.37,104.63,19,51
105.47,106.17,19,52
106.4,109.2,13,53
110,110.23,19,55
110.3,110.77,13,56
110.83,111.1,22,57
111.83,115.93,20,58
117.9,118.17,25,60
119.27,120.13,4,62
120.17,120.87,17,63
121.5,122.67,25,64
122.87,123.13,15,65
123.53,123.8,9,66
123.87,125.7,19,67
126.07,127.23,25,68
128.37,129.27,25,69
131.7,136.63,7,71
137.23,142.63,7,72
142.7,143.6,22,73
146.17,146.47,11,75
147.4,148.4,15,76
148.5,148.83,8,77
149.8,150.2,22,78
150.5,151.03,15,79
151.37,151.7,9,80
151.77,152.33,19,81
152.43,153.1,8,82
153.17,154.77,25,83
155.37,162.8,25,84
163,163.27,22,85
163.87,174.27,25,86
175.17,177.3,16,87
178.33,182.13,25,88
182.3,182.63,21,89
182.67,183.2,19,90
189.93,190.2,15,92
190.37,192.17,25,93
192.97,194.97,19,94
197.93,198.8,3,96
199.5,203.4,3,98
203.8,208.43,25,99
209.77,210.57,25,100
210.97,211.93,19,101
212.2,212.43,15,102
212.57,213.2,25,103
213.43,213.73,16,104
214.1,215.3,25,105
215.43,216.13,16,106
216.67,217.03,20,107
217.77,218.2,22,108
218.33,219.37,8,109
219.4,219.73,15,110
219.83,220.2,8,111
220.27,221.07,22,112
221.53,223.23,25,113
224.87,227.33,25,114
227.47,228.37,16,115
228.5,229.7,25,116
229.8,230.53,15,117
230.63,230.93,25,118
234.47,234.77,10,119
234.87,235.33,1,120
235.43,235.87,15,121
236.23,237.77,1,122
237.87,238.2,15,123
238.9,239.2,1,124
239.37,239.87,25,125
240.03,240.5,23,126
240.93,243.6,1,128
243.67,252.57,15,129
253.13,254,1,130
254.1,255.37,25,131
257,257.27,19,132
258.17,258.63,25,133
260.13,260.4,25,134
260.43,263.3,1,135
264.73,266.37,25,137
266.47,266.97,15,138
267.07,267.47,25,139
267.57,270.33,15,140
270.37,270.63,25,141
271.53,273.07,15,142
273.13,273.63,25,143
